artist,title
Kygo & Conrad,Firestone
Avicii,Hey Brother
The Chainsmokers Feat. Emily Warren,Side Effects
Rita Ora feat. 6lack,Only Want You
Timbaland & One Republic,Apologize
Mark Forster,Wir Sind Groß
Snow Patrol,Chasing Cars
Joan Jett,I Love Rock & Roll
Juli,Geile Zeit
Backstreet Boys,As Long As You Love Me
Genesis,Land Of Confusion
Billie Eilish,No Time To Die
Robin Schulz & J.U.D.G.E.,Show Me Love
Shawn Mendes,There's Nothing Holdin' Me Back
Camila Cabello,Havana
Duran Duran,Wild Boys
Mark Forster,Flash Mich
Roxette,Wish I Could Fly
Meghan Trainor,Lips Are Movin'
Stefanie Heinzmann Feat. Alle Farben,Build A House
Don Henley,The Boys Of Summer
Haddaway,What Is Love
Lady Gaga,Always Remember Us This Way
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)
Welshly Arms,Learn To Let Go
Olly Murs,Heart Skips A Beat
Bon Jovi,Bed Of Roses
Milow,Nobody Needs You Like I Do
Aura Dione,Song For Sophie
Stefanie Heinzmann,Mother's Heart
Depeche Mode,Enjoy The Silence
Nicklas Sahl,There For You
Hozier,Take Me To Church
Jason Mraz,Love Someone
Ronan Keating,Iris
Namika,Je ne parle pas français
Genesis,Tonight Tonight Tonight
Hurts,"Blood, Tears & Gold"
Sam Smith,To Die For
Dean Lewis,Be Alright
Melanie Thornton,Love How You Love Me
Guns 'n' Roses,November Rain
Lana del Rey,Ride
Ali Gatie,What If I Told You That I Love You
Alma,Chasing Highs
Backstreet Boys,Quit Playing Games (With My Heart)
Emeli Sandé,Read All About It (Pt. III)
James Bay,Wild Love
Ich & Ich,Stark
Racoon,Love You More
Matt Simons,With You
Prince,The Most Beautiful Girl In The World
The Script,The Man Who Can't Be Moved
Dermot Kennedy,All My Friends
Sunrise Avenue,Heal Me
Take That,Love Ain't Here Anymore
Bruno Mars,It Will Rain
Jon Bryant,Bad Happens
Coldplay,Clocks
Silbermond,Das Beste
Lewis Capaldi,Hold Me While You Wait
R.E.M.,Daysleeper
Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away
Train,Marry Me
Stacie Orrico,I Promise
Benny Blanco & Khalid & Halsey,Eastside
Mark Forster,Bauch und Kopf
Faith No More,I'm Easy
James Blunt,Carry You Home
Sam Fischer,This City
Darren Hayes,I Miss You
Crowded House,Don't Dream It's Over
Michael Schulte,You Let Me Walk Alone
Die Ärzte,Schrei nach Liebe
Meduza + Becky Hill + Goodboys,Lose control
The B-52's,Love shack
Woodkid,I love you
Robin Schulz feat. Harl?,All this love
Sam Feldt feat. RANI,Post Malone
Bon Jovi,Keep the faith
Christina Aguilera,Masochist
Daddy Yankee feat. Snow,Con calma
Sasha,Lucky day
AJR,Weak
Jack Johnson,Good people
Seal,Kiss from a rose
Dagny,Come over
Mary J. Blige,One
P!nk,Walk me home
MGMT,Kids
Liam Payne + Rita Ora,For you
Kaleo,Way down we go
Jason Mraz,Lucky
John Mayer,Who says
Tones And I,Dance monkey
Milow,Little in the middle
Kings Of Leon,Sex on fire
Diana King,Shy guy
Shakira feat. Rihanna,Can't remember to forget you
Milck,A little peace
Linkin Park,Shadow of the day
Lions Head,When I wake up
Michael Buble,Home
Kenny Loggins,Welcome to heartlight
Lena,Thank you
Goo Goo Dolls,Feel the silence
Adele,Chasing pavements
